generation,solution_id,fft_size,s0_mult,s0_add,power_mW,area_um2,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
1,0,2,0,0,5.990000,209647.4601,100.0000,0.7950,7.950,1,16,275,100.0,0.0,100.0,0.0
1,1,2,1,1,5.900000,209747.6661,100.0000,0.7940,7.940,1,16,275,0.0,100.0,0.0,100.0
1,2,2,1,0,5.970000,209850.9501,100.0000,0.7950,7.950,1,16,275,0.0,100.0,100.0,0.0
1,3,2,0,1,5.930000,209775.3681,41.4800,0.7940,7.940,1,16,275,100.0,0.0,0.0,100.0
